"Story","Title","Result","Date","Stability","Duration (s)"
"Gestión de usuarios en Petstore API","Ciclo completo de gestión de usuario","SUCCESS","2025-11-07T09:47:55.2316199-05:00[America/Bogota]","0.0","10.3"
"Gestión de usuarios en Petstore API","Ciclo completo de gestión de usuario","SUCCESS","2025-11-07T09:47:55.2316199-05:00[America/Bogota]","0.0","10.3"
